"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K00213","Ciliate",0,0,0,0,0,0,0,0,0,14,22,17,16
"K00213","Diatom",31,30,54,60,43,52,0,3,4,0,0,0,0
"K00213","Dinoflagellate",62,20,90,85,51,50,101,43,123,97,484,406,452
"K00213","Haptophyte",13,16,21,20,33,15,0,0,0,0,0,0,0
"K00227","Chlorophyte",458,240,821,773,662,647,0,0,0,0,0,0,0
"K00227","Ciliate",0,0,0,0,0,0,8,5,8,0,0,0,0
"K00227","Diatom",13,12,41,34,18,40,0,0,0,0,0,0,0
"K00227","Dinoflagellate",22,13,53,50,36,32,54,18,40,122,461,308,363
"K00227","Haptophyte",37,15,37,64,69,51,0,0,0,0,0,0,0
"K00232","Chlorophyte",318,155,344,519,415,280,39,32,31,28,62,75,38
"K00232","Ciliate",243,105,107,306,311,194,1116,616,1106,13,45,59,36
"K00232","Diatom",54,23,84,71,50,62,32,11,47,0,16,5,0
"K00232","Dinoflagellate",136,87,158,244,183,156,2090,1426,2251,440,1595,1206,1639
"K00232","Haptophyte",140,87,149,268,208,112,41,27,43,3,1,8,15
"K00234","Chlorophyte",384,183,386,619,484,346,190,106,146,21,64,80,52
"K00234","Ciliate",636,312,464,1053,962,724,492,271,564,95,523,409,236
"K00234","Diatom",166,73,265,293,200,255,348,190,310,25,18,26,7
"K00234","Dinoflagellate",950,494,807,1484,1158,822,1219,830,1749,529,1979,1561,1675
"K00234","Haptophyte",254,128,325,447,371,249,196,82,238,14,54,28,25
"K00235","Chlorophyte",194,86,298,353,242,254,55,43,105,0,4,4,9
"K00235","Ciliate",246,153,167,423,441,392,340,289,404,10,63,73,37
"K00235","Diatom",123,65,219,217,173,216,86,36,112,37,275,143,96
"K00235","Dinoflagellate",742,389,851,1176,912,832,1017,633,1372,353,1588,1163,1405
"K00235","Haptophyte",151,61,197,243,203,204,48,39,97,0,0,0,0
"K00249","Chlorophyte",29,17,55,62,43,30,0,0,0,21,43,31,65
"K00249","Ciliate",26,25,26,52,45,31,7,2,3,0,0,0,0
"K00249","Diatom",34,6,20,30,27,21,0,0,0,0,0,2,9
"K00249","Dinoflagellate",186,106,267,307,258,234,3508,2324,3729,373,1451,1275,1426
"K00249","Haptophyte",71,41,97,127,103,88,47,21,53,13,22,11,14
"K00253","Chlorophyte",0,0,0,0,0,0,11,2,2,0,0,0,0
"K00253","Ciliate",36,28,42,80,96,48,81,58,120,6,7,6,11
"K00253","Diatom",6,7,13,7,7,16,7,5,1,0,0,0,0
"K00253","Dinoflagellate",35,15,54,34,28,27,48,36,84,4,16,11,24
"K00253","Haptophyte",46,23,54,79,52,36,27,4,21,1,17,31,18
"K00254","Chlorophyte",51,24,65,60,78,39,0,0,0,0,0,0,0
"K00254","Ciliate",0,0,0,0,0,0,181,101,144,0,0,0,0
"K00254","Diatom",3,6,10,7,5,10,0,0,0,0,3,1,4
"K00254","Dinoflagellate",3,4,5,5,6,1,23,19,33,16,72,59,68
"K00254","Haptophyte",1,0,0,0,1,2,0,7,0,0,0,0,0
"K00262","Chlorophyte",0,1,2,0,2,0,138,69,182,260,962,655,787
"K00262","Ciliate",1,0,2,1,1,3,17,8,39,0,0,0,0
"K00262","Diatom",65,29,109,70,61,107,139,126,245,5,41,23,30
"K00262","Dinoflagellate",3,2,1,8,2,1,154,97,156,97,270,194,210
"K00262","Haptophyte",0,0,0,0,0,0,47,22,53,10,31,14,11
"K00264","Chlorophyte",116,66,132,170,123,53,20,17,21,10,72,93,64
"K00264","Ciliate",3,3,3,4,9,3,0,0,0,0,16,3,1
"K00264","Diatom",354,218,489,522,432,450,190,119,184,5,11,2,0
"K00264","Dinoflagellate",851,518,642,1450,932,509,912,638,969,452,2065,1798,2739
"K00264","Haptophyte",271,135,324,455,391,265,55,24,30,8,37,24,20
"K00274","Chlorophyte",15,4,30,18,26,20,0,0,0,0,2,0,10
"K00274","Ciliate",0,0,0,0,0,0,26,14,11,0,0,0,0
"K00274","Diatom",41,11,57,45,58,46,24,11,40,0,0,0,0
"K00274","Dinoflagellate",18,3,21,26,19,24,98,63,151,101,320,193,328
"K00274","Haptophyte",0,0,0,0,0,0,11,0,7,0,8,4,11
"K00281","Chlorophyte",1688,828,1535,3154,2365,1526,126,82,147,113,450,380,518
"K00281","Ciliate",210,101,172,356,354,221,219,118,270,1,15,5,11
"K00281","Diatom",362,183,401,531,504,507,30,53,51,3,22,2,17
"K00281","Dinoflagellate",379,232,372,720,472,349,1019,436,1115,359,1539,1177,1615
"K00281","Haptophyte",965,433,1255,1598,1365,973,269,142,321,18,66,72,45
"K00284","Chlorophyte",2834,1414,2600,4984,3981,2481,11,11,18,4,12,17,13
"K00284","Ciliate",1,0,0,3,0,0,0,0,0,0,0,0,0
