"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K08911","Chlorophyte",1276,682,2771,2203,1946,2271,47,32,59,7,24,28,12
"K08911","Ciliate",95,43,94,171,143,114,0,0,0,0,0,0,0
"K08911","Diatom",1,1,10,4,2,3,0,0,0,0,0,0,0
"K08911","Dinoflagellate",133,73,222,281,192,245,0,0,0,0,0,0,0
"K08911","Haptophyte",17,7,17,24,10,14,0,0,0,0,0,0,0
"K08955","Chlorophyte",729,381,542,1325,1122,568,57,23,32,1,8,5,31
"K08955","Ciliate",54,32,41,77,102,46,46,20,35,2,14,21,9
"K08955","Diatom",53,32,96,110,83,75,56,20,42,7,52,26,12
"K08955","Dinoflagellate",0,0,5,9,2,4,40,22,23,24,155,105,156
"K08955","Haptophyte",116,70,136,227,175,151,46,44,64,0,1,4,8
"K08956","Chlorophyte",490,259,518,1022,703,455,21,15,29,8,50,32,50
"K08956","Ciliate",421,243,313,751,717,392,32,15,54,120,351,283,270
"K08956","Diatom",206,126,214,286,258,249,282,218,426,12,60,42,52
"K08956","Dinoflagellate",41,21,49,63,48,39,421,282,430,227,1125,816,1198
"K08956","Haptophyte",324,150,458,657,494,339,31,15,37,8,26,32,16
"K08959","Chlorophyte",0,0,0,0,0,0,17,3,13,3,27,34,9
"K08959","Ciliate",4,5,3,7,6,3,20,27,25,0,1,4,27
"K08959","Diatom",137,85,299,220,181,265,239,149,267,10,88,37,30
"K08959","Dinoflagellate",36,19,48,59,57,34,208,156,269,102,277,229,189
"K08959","Haptophyte",12,6,22,39,28,23,35,25,43,2,15,22,12
"K08994","Chlorophyte",55,35,81,124,106,55,11,4,10,6,2,11,7
"K08994","Ciliate",0,0,0,0,0,0,0,0,0,10,41,37,48
"K08994","Diatom",14,8,32,25,22,12,0,0,0,0,13,4,7
"K08994","Dinoflagellate",180,123,210,299,239,147,752,379,840,574,2791,1723,4223
"K08994","Haptophyte",119,61,120,194,182,101,25,12,19,3,14,27,34
"K09142","Chlorophyte",1,3,1,2,7,1,0,0,0,0,0,0,0
"K09142","Ciliate",0,0,0,0,0,0,89,56,106,0,0,0,0
"K09142","Diatom",3,3,1,3,2,0,7,17,13,0,6,0,0
"K09142","Dinoflagellate",5,1,2,7,4,0,75,38,58,0,2,0,2
"K09142","Haptophyte",0,0,4,0,0,0,0,0,0,0,0,0,0
"K09188","Chlorophyte",0,2,1,2,1,0,0,0,0,0,0,0,0
"K09188","Ciliate",0,0,0,0,0,0,6,0,7,0,0,0,0
"K09188","Diatom",3,0,7,2,4,6,0,0,0,0,0,0,0
"K09188","Dinoflagellate",1,1,2,3,6,3,28,11,29,8,8,0,19
"K09188","Haptophyte",0,0,0,0,0,0,23,21,14,0,0,0,0
"K09228","Chlorophyte",23,5,9,29,12,11,0,0,0,0,0,0,0
"K09228","Ciliate",0,0,0,0,0,0,28,0,36,0,0,0,0
"K09228","Diatom",11,2,12,22,19,20,0,0,0,0,0,0,0
"K09228","Dinoflagellate",10,1,4,10,4,8,79,43,140,25,181,100,184
"K09228","Haptophyte",5,2,1,14,7,2,31,25,37,0,0,0,0
"K09250","Chlorophyte",177,120,274,334,284,243,0,0,11,31,212,156,190
"K09250","Ciliate",0,0,0,0,0,0,137,103,148,17,55,70,94
"K09250","Diatom",14,1,5,7,3,0,182,100,202,46,148,111,91
"K09250","Dinoflagellate",96,64,194,212,130,147,572,372,769,500,1656,1223,1744
"K09250","Haptophyte",7,4,20,31,14,17,71,42,64,26,94,107,85
"K09272","Chlorophyte",392,206,275,728,526,310,54,26,52,0,4,6,6
"K09272","Ciliate",3,9,2,9,19,8,217,91,203,4,35,11,10
"K09272","Diatom",39,20,65,47,38,54,32,27,35,4,5,3,30
"K09272","Dinoflagellate",156,70,71,219,171,76,39,37,65,47,266,247,414
"K09272","Haptophyte",78,56,55,134,91,69,57,41,87,4,8,11,1
"K09291","Chlorophyte",397,175,167,713,463,92,0,2,3,0,0,0,0
"K09291","Ciliate",1,0,0,3,1,2,0,0,0,0,0,0,0
"K09291","Diatom",0,0,0,0,3,1,1,8,8,0,0,0,0
"K09291","Dinoflagellate",43,38,8,71,70,47,30,29,43,59,202,203,324
"K09291","Haptophyte",10,6,7,18,13,12,6,3,2,0,0,0,0
"K09377","Chlorophyte",49,23,42,72,64,30,0,0,0,0,0,0,0
"K09377","Ciliate",13,8,18,13,16,11,22,14,13,0,5,0,5
"K09377","Diatom",0,0,0,0,0,0,0,0,0,0,6,1,5
"K09377","Dinoflagellate",10,2,4,3,8,9,83,45,65,0,41,46,12
"K09377","Haptophyte",0,0,1,1,2,3,0,0,0,0,0,0,0
"K09391","Chlorophyte",100,57,71,128,124,80,5,0,1,0,0,0,0
"K09391","Ciliate",12,4,4,9,14,2,0,0,0,13,0,0,0
"K09391","Diatom",17,2,28,15,29,31,23,8,12,0,3,3,2
"K09391","Dinoflagellate",16,5,8,34,16,16,0,0,0,0,0,0,0
"K09391","Haptophyte",6,1,6,19,14,7,19,1,9,0,0,0,0
"K09419","Chlorophyte",140,68,109,259,176,149,0,0,0,0,0,0,0
"K09419","Ciliate",2,1,1,5,3,1,0,0,0,0,0,0,0
"K09419","Diatom",293,134,437,486,370,406,55,36,49,95,346,276,128
"K09419","Dinoflagellate",11,5,36,18,16,20,0,0,0,0,0,0,0
"K09419","Haptophyte",20,9,25,38,34,18,0,0,0,0,0,0,0
"K09420","Chlorophyte",5,5,15,21,22,8,61,34,65,0,0,0,0
"K09420","Ciliate",0,0,0,0,0,0,13,8,10,0,14,13,9
"K09420","Diatom",44,32,36,65,59,36,52,36,63,29,122,81,112
"K09420","Dinoflagellate",17,8,28,54,42,27,54,30,68,0,10,26,23
"K09420","Haptophyte",1416,779,1412,2628,2045,1052,513,294,474,21,38,28,107
"K09421","Chlorophyte",72,46,36,103,88,43,0,0,0,0,0,0,0
"K09421","Ciliate",29,12,18,61,33,26,0,1,6,0,7,8,6
"K09421","Diatom",35,18,63,80,56,60,125,66,146,5,9,9,12
"K09421","Dinoflagellate",24,14,7,23,18,11,112,84,109,6,63,60,88
"K09421","Haptophyte",566,277,603,1118,784,499,239,172,242,3,37,32,64
"K09422","Chlorophyte",339,214,393,659,526,352,0,0,0,0,0,0,0
"K09422","Ciliate",29,12,5,38,30,26,135,89,135,12,7,0,1
"K09422","Diatom",1,0,0,3,0,0,2,4,10,0,0,0,0
"K09422","Dinoflagellate",57,30,33,78,75,51,4,3,1,0,4,4,0
"K09422","Haptophyte",640,321,713,1076,944,529,87,59,73,3,21,27,41
"K09481","Chlorophyte",14,4,39,22,17,28,0,0,0,0,0,0,0
"K09481","Ciliate",7,0,4,13,3,6,0,0,0,0,0,0,0
"K09481","Diatom",2,0,7,2,1,5,0,0,0,0,0,0,0
"K09481","Dinoflagellate",26,12,37,27,27,44,112,143,214,43,167,101,102
"K09481","Haptophyte",69,31,222,114,110,125,15,7,20,0,0,0,0
"K09486","Chlorophyte",755,425,531,1322,1054,502,0,0,0,0,0,0,0
"K09486","Ciliate",59,36,28,93,70,41,15,2,26,19,43,64,30
"K09486","Diatom",146,55,213,203,192,195,24,38,52,54,162,139,113
"K09486","Dinoflagellate",148,91,70,203,165,51,219,120,228,148,602,620,1081
"K09486","Haptophyte",410,194,400,615,489,337,38,24,52,18,28,22,24
"K09487","Chlorophyte",2051,1038,1420,3579,2821,1677,358,195,375,145,545,533,535
"K09487","Ciliate",112,84,55,163,171,67,1017,429,883,124,441,435,289
"K09487","Diatom",367,236,394,601,439,464,949,585,1216,116,406,343,355
"K09487","Dinoflagellate",2157,1111,1153,3315,2364,984,6941,5123,8782,2104,8913,6348,7778
"K09487","Haptophyte",1991,933,1750,3321,2921,1460,566,331,685,151,599,457,370
"K09488","Chlorophyte",213,95,160,436,322,171,0,0,0,0,0,0,0
"K09488","Ciliate",40,22,21,46,56,47,8,0,2,24,116,79,89
"K09488","Diatom",23,17,51,32,35,64,19,20,33,3,17,13,13
"K09488","Dinoflagellate",164,78,89,203,155,85,211,155,269,295,1304,1079,1177
"K09488","Haptophyte",123,74,148,278,234,156,32,23,50,10,10,6,21
"K09489","Chlorophyte",541,339,423,997,749,474,0,0,0,0,5,0,6
"K09489","Ciliate",67,31,36,79,79,42,410,235,395,264,379,401,289
"K09489","Diatom",141,82,277,213,184,219,300,214,375,15,201,172,124
"K09489","Dinoflagellate",513,328,338,832,579,311,923,504,884,539,1743,1704,2555
"K09489","Haptophyte",720,411,776,1263,1134,728,61,26,54,325,1202,1040,1128
"K09490","Chlorophyte",3770,1982,2462,6364,4826,3155,292,161,291,62,181,122,88
"K09490","Ciliate",1352,673,813,1856,2029,1193,2882,2028,3230,847,3594,2542,2614
"K09490","Diatom",1114,690,1737,1578,1449,1666,1675,1055,2048,380,1665,1278,1065
"K09490","Dinoflagellate",3330,1794,2052,5207,3880,2447,8563,5701,10297,3033,13326,9384,12303
"K09490","Haptophyte",3110,1604,3079,5464,4567,2903,1406,853,1503,318,1018,905,846
"K09493","Chlorophyte",975,484,792,1664,1418,1113,205,133,255,170,882,729,842
"K09493","Ciliate",209,127,137,313,374,242,689,384,723,83,405,321,301
"K09493","Diatom",89,52,152,176,187,149,282,177,354,70,512,275,254
"K09493","Dinoflagellate",228,119,218,456,327,272,639,433,861,582,2168,1657,1821
"K09493","Haptophyte",1238,640,1380,2253,1952,1310,497,254,485,56,164,169,156
"K09494","Chlorophyte",483,303,447,926,677,481,329,167,324,61,114,154,129
"K09494","Ciliate",236,132,122,418,444,227,1079,641,1113,74,314,283,356
"K09494","Diatom",54,36,82,79,57,67,271,190,306,31,197,154,99
"K09494","Dinoflagellate",405,245,468,648,498,503,918,627,964,1218,4533,3548,4132
"K09494","Haptophyte",1354,690,1351,2305,1903,1273,371,253,415,35,229,173,176
"K09495","Chlorophyte",345,186,295,554,478,353,104,53,90,51,134,153,154
"K09495","Ciliate",250,132,145,416,417,228,890,507,723,128,689,361,446
"K09495","Diatom",37,10,42,51,30,51,134,95,173,39,97,67,84
"K09495","Dinoflagellate",349,166,315,532,399,332,641,349,730,428,1945,1467,1755
"K09495","Haptophyte",1340,643,1485,2322,1965,1351,355,233,469,523,1863,1575,1695
"K09496","Chlorophyte",369,204,323,724,514,308,127,82,156,236,878,727,705
"K09496","Ciliate",191,117,102,331,375,202,774,341,666,69,591,232,280
"K09496","Diatom",33,7,59,66,44,59,273,189,345,63,168,126,93
"K09496","Dinoflagellate",307,151,358,545,420,366,844,595,978,1201,4552,3492,3722
"K09496","Haptophyte",1109,572,1218,1896,1614,1220,357,209,403,67,224,156,160
"K09497","Chlorophyte",284,177,316,526,443,351,130,92,118,31,162,132,147
"K09497","Ciliate",242,119,94,339,376,213,729,363,622,133,624,415,509
"K09497","Diatom",150,71,167,212,183,231,278,144,437,94,382,305,254
"K09497","Dinoflagellate",250,123,218,368,292,212,886,696,1108,1067,3833,3278,3530
"K09497","Haptophyte",1369,669,1585,2495,1944,1442,476,316,523,77,240,234,261
"K09498","Chlorophyte",333,164,348,637,506,339,236,113,212,73,265,237,136
"K09498","Ciliate",173,110,105,287,337,230,1384,717,1357,85,530,298,364
"K09498","Diatom",20,12,38,63,38,50,254,100,209,32,96,93,51
"K09498","Dinoflagellate",317,187,377,538,441,401,753,451,839,952,3291,2574,3242
"K09498","Haptophyte",1338,715,1390,2449,1901,1313,475,207,412,66,310,256,180
"K09499","Chlorophyte",321,186,285,617,513,276,126,83,131,73,190,146,101
"K09499","Ciliate",287,157,149,497,500,295,1617,925,1646,110,414,279,370
"K09499","Diatom",19,11,43,35,38,41,103,55,142,64,162,122,81
"K09499","Dinoflagellate",363,214,396,705,527,453,1080,637,1150,993,3804,3021,3596
"K09499","Haptophyte",1152,608,1342,2177,1717,1348,378,216,364,35,249,250,135
"K09500","Chlorophyte",381,227,397,635,542,371,329,183,563,12,59,43,54
"K09500","Ciliate",189,107,101,269,342,190,626,321,500,44,166,176,224
"K09500","Diatom",27,13,46,39,39,35,328,216,451,33,211,180,122
"K09500","Dinoflagellate",193,113,219,381,302,294,360,234,495,209,856,633,941
"K09500","Haptophyte",1414,704,1618,2499,2077,1436,370,186,432,58,252,234,122
"K09502","Chlorophyte",0,0,0,0,0,0,0,0,0,3,9,14,4
"K09502","Ciliate",24,7,8,27,12,14,35,24,27,96,236,167,91
"K09502","Diatom",2,2,2,0,4,0,0,5,13,0,0,0,0
"K09502","Dinoflagellate",26,11,12,32,20,15,208,106,179,90,252,195,248
"K09502","Haptophyte",131,54,109,184,170,102,21,5,10,0,0,0,0
"K09503","Chlorophyte",237,138,337,413,381,336,34,33,42,28,76,52,63
"K09503","Ciliate",201,115,134,301,347,166,1052,641,1249,300,958,746,883
"K09503","Diatom",119,77,254,246,185,248,558,402,813,47,385,215,262
"K09503","Dinoflagellate",834,500,929,1481,1034,722,1835,1258,2446,1977,7125,5728,7102
"K09503","Haptophyte",888,454,1078,1671,1400,923,382,215,362,82,212,160,206
"K09506","Chlorophyte",0,0,0,0,0,0,0,0,0,23,68,37,33
"K09506","Ciliate",0,1,1,2,3,0,0,0,0,85,36,118,0
"K09506","Diatom",4,2,9,10,7,5,0,0,0,7,0,4,0
"K09506","Dinoflagellate",8,8,14,18,5,7,58,13,48,47,223,172,123
"K09506","Haptophyte",31,7,35,47,41,25,15,14,12,0,0,0,0
"K09510","Chlorophyte",186,85,261,398,264,220,0,0,0,3,3,7,7
"K09510","Ciliate",4,2,2,4,7,5,166,68,178,92,175,155,102
"K09510","Diatom",8,3,5,17,5,6,0,0,0,0,5,7,10
"K09510","Dinoflagellate",75,40,152,144,124,125,112,82,118,212,1050,749,1449
"K09510","Haptophyte",131,61,157,214,186,129,25,13,8,10,47,26,39
"K09512","Chlorophyte",57,18,53,88,62,40,7,6,11,3,5,7,27
"K09512","Ciliate",0,0,0,0,0,0,42,9,19,0,0,0,0
"K09512","Diatom",26,9,63,35,35,42,38,27,57,0,0,0,0
"K09512","Dinoflagellate",22,17,40,59,30,26,153,71,181,113,553,347,605
"K09512","Haptophyte",23,10,29,43,37,20,0,0,0,29,128,118,133
"K09518","Chlorophyte",27,15,36,46,39,26,0,0,0,5,6,3,11
"K09518","Ciliate",0,0,0,0,0,0,5,4,11,0,0,0,0
"K09518","Diatom",2,3,3,1,4,3,0,0,0,0,0,0,0
"K09518","Dinoflagellate",37,18,26,51,40,26,113,63,129,64,354,256,425
"K09518","Haptophyte",8,8,14,17,16,7,0,0,0,0,9,13,6
"K09522","Chlorophyte",118,65,69,221,177,132,0,0,0,0,0,0,0
"K09522","Ciliate",1,0,5,0,3,0,131,55,142,0,0,4,3
"K09522","Diatom",9,4,14,19,9,12,9,6,22,0,9,9,5
"K09522","Dinoflagellate",193,118,78,273,171,56,334,136,357,466,1429,1296,1735
"K09522","Haptophyte",13,15,13,37,33,29,31,30,39,0,0,0,0
"K09523","Chlorophyte",15,3,26,28,25,16,0,0,0,0,0,0,0
"K09523","Ciliate",0,0,0,0,0,0,5,0,10,0,0,0,2
"K09523","Diatom",34,10,71,64,43,64,5,5,8,0,0,0,0
"K09523","Dinoflagellate",0,0,0,6,0,0,0,0,0,10,128,93,209
"K09523","Haptophyte",132,70,141,220,197,144,0,0,0,0,0,0,0
"K09527","Chlorophyte",239,130,208,406,363,165,0,0,0,13,41,33,27
"K09527","Ciliate",16,14,5,27,36,16,43,19,22,36,84,66,65
"K09527","Diatom",9,1,9,13,7,10,6,0,5,0,0,0,0
"K09527","Dinoflagellate",30,15,6,24,29,7,228,134,240,25,192,161,302
"K09527","Haptophyte",72,42,59,137,104,75,0,0,0,0,0,0,0
"K09528","Chlorophyte",12,8,7,42,19,16,0,0,0,0,0,0,0
"K09528","Ciliate",0,0,0,0,0,0,38,37,47,0,0,0,0
"K09528","Diatom",5,2,5,8,3,7,0,0,0,0,0,0,0
"K09528","Dinoflagellate",4,2,12,11,12,4,58,40,57,37,50,51,85
"K09528","Haptophyte",33,20,45,94,68,36,9,7,20,0,0,0,0
"K09529","Chlorophyte",35,21,41,70,54,38,9,16,15,0,0,0,0
"K09529","Ciliate",0,0,0,1,1,1,4,3,15,0,0,0,0
"K09529","Diatom",2,3,0,3,0,1,1,2,5,0,0,0,0
"K09529","Dinoflagellate",0,0,0,0,0,0,0,0,3,2,13,6,30
"K09529","Haptophyte",4,7,9,10,15,6,0,0,0,0,0,0,0
"K09539","Chlorophyte",16,13,68,38,24,35,0,0,0,0,0,0,0
"K09539","Ciliate",0,0,0,0,0,0,20,19,12,0,0,0,0
"K09539","Diatom",5,3,0,7,9,7,0,0,0,0,0,0,0
"K09539","Dinoflagellate",8,1,14,5,8,12,35,15,34,14,83,18,84
"K09539","Haptophyte",8,4,23,24,14,9,0,0,0,0,3,0,0
"K09540","Chlorophyte",464,216,352,752,599,355,0,0,0,0,0,0,0
"K09540","Ciliate",98,56,57,172,174,86,74,48,91,10,41,8,17
"K09540","Diatom",211,145,342,364,308,347,43,28,62,0,37,38,27
"K09540","Dinoflagellate",94,38,63,100,69,65,221,120,270,129,559,396,511
"K09540","Haptophyte",375,172,343,622,562,330,5,0,6,0,0,0,0
"K09549","Chlorophyte",64,28,118,90,66,80,0,0,0,0,0,0,0
"K09549","Ciliate",1,2,6,6,5,11,0,0,0,0,0,0,0
"K09549","Diatom",6,2,12,9,10,16,5,3,4,0,0,0,0
"K09549","Dinoflagellate",20,10,66,47,32,21,31,25,61,100,379,282,326
"K09549","Haptophyte",89,61,240,189,151,203,15,1,11,2,8,5,10
"K09550","Chlorophyte",114,51,152,211,173,148,0,2,2,0,0,0,0
"K09550","Ciliate",0,1,3,2,0,0,0,0,0,0,11,5,4
"K09550","Diatom",13,9,37,21,14,17,11,5,11,0,0,0,0
"K09550","Dinoflagellate",3,2,4,8,11,8,36,22,45,3,34,21,53
"K09550","Haptophyte",139,82,288,263,204,191,6,13,7,0,0,0,0
"K09553","Chlorophyte",505,251,439,902,770,491,23,21,23,41,206,172,135
"K09553","Ciliate",51,35,49,102,84,66,263,200,302,45,203,98,74
"K09553","Diatom",69,43,96,103,92,104,249,189,361,47,216,151,106
"K09553","Dinoflagellate",273,178,221,452,399,196,944,645,1322,612,2580,2004,2821
"K09553","Haptophyte",1157,614,1178,2131,1740,1057,147,76,141,27,55,66,37
"K09564","Chlorophyte",7,6,21,22,18,22,0,0,8,0,0,0,0
"K09564","Ciliate",17,12,15,33,41,35,0,0,0,0,0,0,0
"K09564","Diatom",0,0,0,0,0,0,10,8,120,4,13,5,3
"K09564","Dinoflagellate",5,4,25,23,14,11,61,24,48,20,101,51,89
"K09564","Haptophyte",23,17,58,57,28,42,6,5,5,0,0,0,0
"K09565","Chlorophyte",975,511,1858,1829,1491,1635,325,452,390,24,48,20,22
"K09565","Ciliate",42,21,43,32,46,100,163,112,187,11,106,65,66
"K09565","Diatom",489,281,1353,833,703,927,668,332,735,179,934,730,606
"K09565","Dinoflagellate",561,290,1110,955,820,920,388,337,656,130,530,430,530
"K09565","Haptophyte",339,191,651,648,541,520,83,93,280,11,27,24,31
"K09566","Chlorophyte",6,5,5,15,14,11,0,0,0,11,30,19,31
"K09566","Ciliate",0,0,0,0,0,0,5,3,1,32,183,168,132
"K09566","Diatom",1,2,4,7,7,4,0,0,0,0,0,0,0
"K09566","Dinoflagellate",9,3,3,20,14,10,36,31,62,16,145,58,169
"K09566","Haptophyte",8,3,13,15,10,15,0,0,0,0,0,0,0
"K09567","Chlorophyte",117,64,211,197,164,115,3,2,2,0,0,0,0
"K09567","Ciliate",0,0,0,0,0,0,7,2,3,0,0,0,0
"K09567","Diatom",3,0,3,1,1,7,39,22,62,0,16,14,6
"K09567","Dinoflagellate",51,15,69,73,77,88,119,92,146,76,471,333,411
"K09567","Haptophyte",15,6,36,31,24,21,0,0,0,0,7,10,2
"K09568","Chlorophyte",26,14,107,65,52,72,57,23,66,2,7,5,5
"K09568","Ciliate",9,6,5,18,22,12,65,42,65,17,45,39,59
"K09568","Diatom",4,3,10,12,9,10,0,0,0,0,10,3,0
"K09568","Dinoflagellate",124,76,342,271,200,195,247,220,316,145,549,412,482
"K09568","Haptophyte",120,36,263,230,182,222,12,2,7,0,0,0,0
"K09569","Chlorophyte",7,7,1,5,9,2,10,2,7,0,0,0,0
"K09569","Ciliate",0,0,0,0,0,0,0,0,0,1,27,20,10
"K09569","Diatom",4,3,13,3,4,9,0,0,0,0,0,0,0
"K09569","Dinoflagellate",3,2,20,10,9,9,36,31,45,43,124,82,83
"K09569","Haptophyte",22,6,42,33,30,20,0,0,0,0,15,7,21
"K09571","Chlorophyte",197,98,180,364,293,172,10,11,17,0,0,0,0
"K09571","Ciliate",13,7,12,14,8,9,20,12,14,10,29,29,21
"K09571","Diatom",0,0,0,0,0,0,3,0,1,0,0,0,0
"K09571","Dinoflagellate",120,72,124,218,147,79,380,248,450,682,1973,1770,2303
"K09571","Haptophyte",30,37,64,88,68,54,6,8,2,91,249,226,267
"K09578","Chlorophyte",5,4,34,20,15,18,0,0,0,2,0,2,9
"K09578","Ciliate",4,0,4,3,2,2,38,16,14,0,6,10,26
"K09578","Diatom",8,2,41,19,21,10,36,21,25,0,0,0,0
"K09578","Dinoflagellate",66,25,93,81,67,63,208,117,214,114,563,467,725
"K09578","Haptophyte",23,12,53,26,19,19,34,9,19,18,22,20,23
"K09580","Chlorophyte",230,124,302,492,398,295,69,66,48,126,678,508,447
"K09580","Ciliate",1785,781,2022,3058,2676,2110,2556,1022,3001,529,1635,1352,1132
"K09580","Diatom",15,9,25,14,25,24,39,42,39,0,0,4,2
"K09580","Dinoflagellate",296,145,299,464,343,300,1139,688,1366,496,2167,1613,2082
"K09580","Haptophyte",43,26,75,88,75,55,63,66,74,13,56,72,55
"K09582","Chlorophyte",22,10,36,28,23,19,12,13,6,2,0,3,7
"K09582","Ciliate",0,0,0,0,0,0,33,30,29,24,261,161,131
"K09582","Diatom",20,7,26,22,21,16,1,1,3,0,0,0,0
"K09582","Dinoflagellate",89,33,124,157,112,89,138,72,141,49,285,195,261
"K09582","Haptophyte",22,19,26,43,32,29,3,4,0,0,4,2,8
"K09584","Chlorophyte",459,279,674,855,691,588,177,120,242,48,122,137,94
"K09584","Ciliate",578,284,586,816,777,922,259,238,309,102,327,234,188
"K09584","Diatom",301,143,636,575,412,522,748,451,962,149,720,614,552
"K09584","Dinoflagellate",1188,540,1717,1857,1586,1546,3020,2124,4016,1358,5364,4066,4898
"K09584","Haptophyte",1658,867,2994,2892,2559,2391,543,438,692,44,280,219,186
"K09595","Chlorophyte",327,175,476,534,416,379,0,0,0,0,0,0,0
"K09595","Ciliate",74,47,87,151,140,112,207,117,232,0,11,6,0
"K09595","Diatom",61,18,96,91,48,85,15,12,22,8,4,3,4
"K09595","Dinoflagellate",14,5,12,26,10,12,64,46,102,5,78,57,89
"K09595","Haptophyte",68,34,100,98,107,82,2,1,6,6,7,14,0
"K09611","Chlorophyte",259,133,252,459,328,280,0,0,0,0,0,0,0
"K09611","Ciliate",0,0,0,0,0,0,0,0,0,1,27,9,11
"K09611","Diatom",11,7,30,19,19,31,0,0,0,0,0,0,0
"K09611","Dinoflagellate",6,1,2,4,5,2,11,2,16,7,2,7,14
"K09611","Haptophyte",28,9,32,36,39,23,0,0,0,0,0,0,0
"K09613","Chlorophyte",158,81,138,273,176,162,18,18,22,0,0,8,7
"K09613","Ciliate",0,3,6,5,0,0,5,11,8,7,22,23,23
"K09613","Diatom",24,7,29,27,29,27,0,0,0,0,0,0,0
"K09613","Dinoflagellate",7,3,14,17,14,18,59,24,33,27,124,128,150
"K09613","Haptophyte",42,38,61,122,72,76,55,38,59,9,57,22,35
"K09667","Chlorophyte",20,5,7,23,15,12,2,0,2,1,1,2,1
"K09667","Ciliate",2,0,0,1,0,1,31,4,10,0,0,0,0
"K09667","Diatom",20,11,25,26,30,17,0,0,0,0,0,0,0
"K09667","Dinoflagellate",17,6,28,19,19,17,126,47,143,24,55,45,65
"K09667","Haptophyte",8,3,5,20,14,4,0,0,0,0,0,0,0
"K09680","Chlorophyte",500,247,402,824,635,403,0,0,0,0,0,0,0
"K09680","Ciliate",0,0,0,0,0,0,79,22,82,0,12,22,37
"K09680","Diatom",30,17,21,46,33,43,5,18,12,0,0,0,0
"K09680","Dinoflagellate",13,4,3,15,14,5,25,3,20,182,882,586,790
"K09680","Haptophyte",10,3,4,9,7,7,2,5,2,0,21,0,0
"K09699","Chlorophyte",2,2,0,3,1,3,0,0,0,0,0,0,0
"K09699","Ciliate",29,10,12,40,39,25,29,14,31,0,22,1,6
"K09699","Diatom",1,2,8,0,1,1,2,2,0,3,5,0,14
"K09699","Dinoflagellate",22,10,17,26,25,15,76,61,78,7,42,49,52
"K09699","Haptophyte",49,30,101,123,85,86,19,3,18,0,0,0,0
"K10144","Chlorophyte",3,1,0,5,7,0,0,0,0,0,0,0,0
"K10144","Ciliate",0,0,0,0,0,0,71,71,77,0,12,3,0
"K10144","Diatom",37,27,108,63,52,68,0,0,0,0,7,1,1
"K10144","Dinoflagellate",10,11,29,17,22,17,100,120,158,64,205,205,215
"K10144","Haptophyte",0,0,0,0,0,0,0,0,0,0,9,1,14
"K10256","Chlorophyte",910,449,1378,1727,1334,1459,17,6,31,42,158,179,86
"K10256","Ciliate",0,0,0,0,0,0,0,0,0,36,74,55,44
"K10256","Diatom",171,88,433,244,212,273,348,189,394,85,329,263,167
"K10256","Dinoflagellate",276,142,331,444,344,348,32,18,27,43,217,151,249
"K10256","Haptophyte",697,409,1133,1268,1006,974,10,8,5,0,5,15,15
"K10260","Chlorophyte",6,3,6,11,6,5,2,7,2,0,0,0,0
"K10260","Ciliate",1,0,7,2,4,0,10,0,0,0,0,0,0
"K10260","Diatom",2,4,0,11,7,5,16,11,11,0,0,0,0
"K10260","Dinoflagellate",2,6,11,8,10,5,86,46,92,42,101,65,140
"K10260","Haptophyte",26,16,17,70,43,24,46,43,53,6,13,13,0
"K10268","Chlorophyte",14,8,20,14,30,18,0,0,0,0,0,0,0
"K10268","Ciliate",3,2,5,3,5,6,0,0,0,0,0,0,0
"K10268","Diatom",0,0,0,0,0,0,5,17,4,2,2,3,1
"K10268","Dinoflagellate",6,3,8,16,2,3,14,26,16,35,284,219,375
"K10268","Haptophyte",9,4,16,32,28,17,7,18,20,0,2,8,3
"K10273","Chlorophyte",20,10,23,25,20,13,9,0,0,0,0,0,0
"K10273","Ciliate",0,0,0,0,0,0,7,1,5,0,0,0,0
"K10273","Diatom",0,3,5,2,3,2,0,0,0,0,0,0,0
"K10273","Dinoflagellate",2,3,9,3,1,2,0,4,1,9,41,19,65
"K10273","Haptophyte",0,2,7,5,6,2,0,0,0,0,0,0,0
"K10352","Chlorophyte",168,84,135,381,319,110,0,0,0,6,58,78,82
"K10352","Ciliate",22,10,7,29,28,18,99,49,107,25,109,61,36
"K10352","Diatom",92,42,73,141,114,61,27,18,40,3,8,7,6
"K10352","Dinoflagellate",4875,2792,2445,7840,5457,2694,6694,4335,8010,2576,10733,7902,11017
"K10352","Haptophyte",171,90,158,291,233,129,61,53,75,3,25,35,17
"K10355","Chlorophyte",495,280,994,953,778,842,153,135,247,0,5,5,9
"K10355","Ciliate",527,298,353,892,725,737,1994,1610,2648,103,245,233,66
"K10355","Diatom",67,36,109,129,91,97,4461,3091,6051,269,1318,935,675
"K10355","Dinoflagellate",583,294,943,932,765,741,2892,2043,3660,362,1479,927,1053
"K10355","Haptophyte",10,3,8,13,15,2,18,12,7,12,190,188,218
"K10356","Chlorophyte",0,0,3,1,2,0,4,0,2,9,30,17,10
"K10356","Ciliate",0,0,0,0,0,0,0,0,0,0,3,10,11
"K10356","Diatom",3,1,6,1,3,4,9,6,5,9,21,14,9
