taxonomy	KO	meanTPM
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros , Strain UNC1202	K08568	0
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Coscinodiscus;Coscinodiscus wailesii, Strain CCMP2513	pti:PHATRDRAFT_48707	0.123427546625632
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema;Skeletonema dohrnii SkelB	K02183	1.38523061421707
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	tps:THAPS_23576	0.0562488748848953
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	tps:THAPS_23576	0.277003963651664
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira miniscula, Strain CCMP1093	K08568	0.162087537937403
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	K00485	0.0665719485261922
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Minutocellus;Minutocellus polymorphus CCMP3303	K19519	0.147472285342935
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros neogracile, Strain RCC1993	K16280	0.03068426275591
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira weissflogii CCMP1010	K15121	0
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Leptocylindrus;Leptocylindrus danicus var. danicus B650	smin:v1.2.039848.t1	0.0717286773683713
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Attheya;Attheya septentrionalis, Strain CCMP2084	K02183	0.0240901023196497
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	K15013	0
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira antarctica, Strain CCMP982	K08568	0.09849310093278
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira antarctica, Strain CCMP982	K08568	0.145746091460445
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	pti:PHATRDRAFT_48707	3.47709396006057
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	pti:PHATRDRAFT_48707	9.74479364739124
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros curvisetus	pti:PHATRDRAFT_48707	0.108100024035987
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	pti:PHATRDRAFT_48707	5.8752022446926
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros debilis, Strain MM31A-1	pti:PHATRDRAFT_48707	120.78021179667
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Eucampia;Eucampia antarctica	K14972	0.00854518184860308
Eukaryota;Stramenopiles;Stramenopiles_X;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Coscinodiscus;Coscinodiscus wailesii, Strain CCMP2513	K18079	0.230175421730418
