gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
tps:THAPSDRAFT_2714,1.6011512507698,0.672235725619941,2.35966302399603,0.284886324353859,0.775731233619888,NA
tps:THAPSDRAFT_2717,3.37378115847278,2.85631171341111,1.83961842692971,1.55266530906534,0.120503114205791,0.262679450391041
tps:THAPSDRAFT_27208,4.16753986448573,3.09646366280894,1.51340009738299,2.04603109789898,0.040753311151062,0.130851540600483
tps:THAPSDRAFT_27220,2.23416140949812,1.58191670291343,1.94460020205096,0.813491997607011,0.415936032531738,NA
tps:THAPSDRAFT_2728,3.30605358678665,4.17371808421807,1.71595680690284,2.4322978687041,0.015003363103004,0.072463483762767
tps:THAPSDRAFT_2742,3.32524053874814,4.11584506522086,1.98955730502659,2.06872405978065,0.038571988121295,0.126529518108027
tps:THAPSDRAFT_2771,0.12712270926939,-0.482559414333177,3.36145317030288,-0.143556786272199,0.885850466654796,NA
tps:THAPSDRAFT_2773,4.94401075419045,-1.97112622005335,1.74285595824389,-1.13097482940557,0.258065685760216,0.429885460914804
tps:THAPSDRAFT_2777,1.31418904192848,2.84889241426387,2.58044824016403,1.10403005567853,0.269580100113448,NA
tps:THAPSDRAFT_28038,2.01686119371287,2.71663049749792,1.87086626007272,1.45207092322693,0.146481885836391,NA
tps:THAPSDRAFT_2824,0.107018325264622,-0.709413006533488,3.36953825632125,-0.21053715748816,0.833248454006857,NA
tps:THAPSDRAFT_2826,22.4659099928574,-2.87707126890836,3.16969354785582,-0.907681208126441,NA,NA
tps:THAPSDRAFT_2831,5.44595517925938,2.24469606555653,1.39266109173642,1.61180353129401,0.107004699515201,0.241484145475896
tps:THAPSDRAFT_28704,3.29071372645649,3.75103458184408,1.80229069416593,2.08125947383865,0.037410162433115,0.123678401866573
tps:THAPSDRAFT_2874,1.55054741586255,3.09234329710126,2.48440547230673,1.24470153184378,0.213241482690954,NA
tps:THAPSDRAFT_28795,2.70603689189609,2.4072492672911,2.25709231233029,1.06652672296145,0.286185605271183,0.457912876471985
tps:THAPSDRAFT_28842,4.10587194239064,-2.19564252835339,2.29178600867479,-0.958048665993476,0.33803821906465,0.50692524802167
tps:THAPSDRAFT_2890,5.6806095174337,3.01477214805562,1.3350435983321,2.25818254311847,0.023934281146839,0.095294489317391
tps:THAPSDRAFT_2909,1.20711065825334,2.72601257591217,2.64600801953969,1.03023594629407,0.302899259349775,NA
tps:THAPSDRAFT_29144,2.92032935280833,1.87782451023909,1.55355323569173,1.20872878192872,0.22676706029511,0.396687318784245
tps:THAPSDRAFT_2919,5.21648688374405,0.751289599270168,1.82746513146968,0.411110223846496,0.680991713546113,0.798628905048885
tps:THAPSDRAFT_2920,1.52309740100992,2.27091339622241,2.25980460866412,1.00491581772853,0.314937387171057,NA
tps:THAPSDRAFT_2921,4.57995199797093,0.894609655381531,1.64569223133977,0.54360690191338,0.586712009262962,0.725918985026192
tps:THAPSDRAFT_2965,2.55434785469309,1.02040685682211,1.71741275845342,0.594153532282489,0.55240942901665,0.698489146243983
tps:THAPSDRAFT_2973,8.92146765467549,2.87623907705099,1.32291697077395,2.17416447184006,0.029692785507405,0.109199873641965
tps:THAPSDRAFT_29842,256.179559796576,1.81645335990991,0.913574836334074,1.98829180453222,0.046779426659978,0.141948627310725
tps:THAPSDRAFT_2999,0.293057588441494,0.699008481149302,3.3247432751222,0.210244347700383,0.833476968519112,NA
tps:THAPSDRAFT_3009,4.58959660847953,3.94074095396904,1.59571057538541,2.46958377963826,0.013527033921538,0.06824753437581
tps:THAPSDRAFT_3017,0.847322304869644,1.42082405033033,2.40385593949251,0.591060398831676,0.554479952611662,NA
tps:THAPSDRAFT_3022,1.35187604395371,1.39411345010655,2.72093078510606,0.51236637761523,0.608394617605683,NA
tps:THAPSDRAFT_3026,1.62093928994873,3.14979468878822,2.44132691290332,1.29019783140897,0.196981978909611,NA
tps:THAPSDRAFT_30335,54.5937725313952,-1.1529642458174,1.20862092980345,-0.953950256351171,0.340108822560301,0.508441052059115
tps:THAPSDRAFT_3047,0.187435861283696,0.040341496319733,3.34437100376254,0.012062506305176,0.990375745849752,NA
tps:THAPSDRAFT_3049,10.3725276012675,3.59125378943005,1.1067770570518,3.24478517741985,0.001175392587058,0.016034917354723
tps:THAPSDRAFT_30747,0.147227093274159,-0.292191404439641,3.35552732847513,-0.087077641108774,0.930609797676659,NA
tps:THAPSDRAFT_3078,1.79404959069753,3.29664302759035,2.92596031019539,1.12668754121624,NA,NA
tps:THAPSDRAFT_3085,0.778670938691357,1.43937549634119,3.20949889986667,0.448473590815372,0.653811441568754,NA
tps:THAPSDRAFT_30887,26.7357678166817,0.329551056736169,1.24600559808286,0.264486016148905,0.791405438785216,0.872312932878785
tps:THAPSDRAFT_30971,11.6881912578401,0.817335203408199,1.12471904503935,0.726701665640956,0.467408732858149,0.626804583057155
tps:THAPSDRAFT_31006,0.103770122644232,-0.709377119741397,3.36953688167705,-0.210526593016051,0.833256698483645,NA
tps:THAPSDRAFT_31011,15.7683214708501,2.1198950782434,1.07847522455059,1.96564096233809,0.049340098886778,0.147176657663825
tps:THAPSDRAFT_31069,2.21199494477842,3.02708083900649,2.0539559760573,1.4737807792829,0.140540625031881,NA
tps:THAPSDRAFT_3107,0.505795515900489,0.098248190807534,3.3076054306086,0.029703721580072,0.976303343841135,NA
tps:THAPSDRAFT_31085,0.388854635971722,1.09233588729989,3.31652688139476,0.329361385076581,0.741882551235448,NA
tps:THAPSDRAFT_3113,1.72201427334876,1.68356403213365,2.32559501827805,0.723928293147193,0.469109758983676,NA
